0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
45.11,99.99,53.09,102.07,49.77,70.3,101.03,63.98,35.95,107.93,0.0,85.78,97.34,46.93,68.1,94.17,94.19,33.16,56.45,19.78,66.1,64.35,50.8,17.48,16.85,43.32,57.14,30.19,51.54,100.33,44.85,53.06,12.38,29.93,62.18,12.81,25.72,22.97,6.16,57.22,57.32,73.86,107.75,36.95,110.96,59.52,12.03,67.06,45.62,119.35,18.3,92.54,47.67,41.31,51.66,83.59,53.68,74.36,23.07,79.77,52.54,47.88,103.48,30.35,107.17,19.77,54.06,54.92,24.5,77.64,160.83,47.58,38.36,99.03,55.35,71.89,89.31,112.92,22.39,37.86,104.36,35.61,91.46,76.25,39.69,26.53,76.09,59.58,42.01,51.3,109.04,44.19,72.55,91.84,73.75,49.61,64.04,42.18,60.81,62.22,105.14
19.72,26.89,68.76,21.43,42.03,46.0,12.59,8.25,51.04,26.02,74.34,0.0,35.17,31.63,62.68,6.7,12.88,50.76,21.52,49.02,93.81,20.15,35.67,47.78,57.8,97.06,16.04,38.76,31.83,44.05,61.94,9.17,97.45,48.49,12.69,78.13,47.5,63.53,69.05,27.74,53.46,12.28,54.51,61.99,42.85,96.38,54.21,40.5,26.61,47.97,56.67,32.03,23.57,21.65,39.3,72.85,54.49,45.53,48.07,13.32,13.3,17.94,46.28,48.39,28.52,85.96,75.27,97.76,60.4,29.04,99.89,85.05,80.87,54.8,15.61,14.7,3.34,39.12,72.74,31.67,41.59,23.26,12.06,12.11,45.89,36.79,9.49,51.63,30.24,20.68,36.67,29.68,31.23,41.63,31.29,50.21,18.25,52.05,9.12,24.75,47.97
38.6,4.82,64.05,11.99,63.13,58.09,15.68,45.46,76.39,28.22,97.34,23.44,0.0,60.77,56.41,28.36,20.02,74.22,41.06,71.59,114.88,32.14,60.77,87.91,93.32,126.95,59.22,51.92,55.27,16.55,69.36,40.37,120.15,71.9,18.17,81.21,65.28,69.97,106.58,61.42,76.8,17.74,48.31,83.83,28.65,87.4,75.69,64.93,57.98,45.51,76.07,11.18,35.89,43.91,79.5,37.93,67.02,37.59,82.39,24.93,29.58,41.33,63.43,91.58,41.14,87.9,122.0,125.83,71.69,36.67,95.88,98.66,96.26,36.59,46.72,20.93,24.13,16.26,78.52,52.25,20.02,44.98,19.32,18.27,56.37,82.62,25.11,74.09,66.89,42.04,36.39,56.09,49.31,35.51,33.97,92.42,14.11,77.88,30.72,41.87,37.7
2.45,56.11,62.77,32.68,52.9,40.32,31.29,21.48,16.03,47.01,46.93,31.63,52.67,0.0,41.12,26.89,41.33,14.02,13.13,23.82,89.24,14.26,16.82,28.2,56.35,76.67,20.35,13.83,31.15,60.13,59.24,26.75,44.19,21.09,31.86,44.12,23.72,29.51,32.04,31.92,27.85,39.3,71.9,30.2,84.75,64.37,28.91,35.01,14.08,56.72,26.41,68.09,6.58,14.98,16.22,74.77,48.94,50.56,36.59,30.82,21.36,13.03,46.83,20.56,71.45,65.77,60.01,74.45,37.57,50.68,117.51,64.53,51.22,75.63,17.62,46.53,35.22,66.73,44.9,7.81,61.94,7.25,38.74,42.77,22.72,23.56,32.81,47.53,6.0,13.2,48.4,21.98,27.98,83.65,32.94,36.69,44.69,33.91,19.49,13.52,82.87
39.85,69.61,29.54,60.97,7.49,89.51,62.44,61.39,45.07,81.34,78.58,57.86,56.41,61.68,0.0,54.42,43.52,34.36,34.88,59.78,144.38,35.1,70.27,59.03,41.41,110.14,65.67,66.96,78.0,39.7,27.75,77.51,60.03,41.8,45.15,79.61,44.1,89.49,60.49,93.59,82.54,52.1,99.02,64.18,82.85,84.55,68.05,70.08,50.51,106.19,61.75,62.02,56.86,29.78,84.52,29.06,13.34,32.26,73.95,58.61,37.99,48.87,102.67,52.58,97.52,76.41,109.68,62.69,61.84,88.83,132.19,74.94,39.84,97.48,68.49,57.17,61.68,57.24,30.1,44.0,77.88,62.62,50.71,51.6,38.75,63.62,63.2,96.59,60.84,35.84,87.56,66.19,76.92,88.43,31.39,82.16,40.49,24.07,63.1,76.57,84.71
30.89,27.32,64.01,19.11,57.95,51.94,8.11,12.7,40.11,20.27,81.62,6.7,28.36,32.27,65.31,0.0,20.15,48.17,30.2,55.59,127.21,23.45,27.1,58.91,96.15,92.58,23.72,48.98,49.95,43.04,89.23,12.28,106.57,51.68,16.51,71.01,68.89,69.22,88.03,35.1,44.12,18.98,35.57,66.74,47.22,86.51,50.85,46.26,34.12,36.37,63.92,40.41,36.7,34.02,40.33,53.38,72.61,49.52,63.27,5.72,21.59,22.4,36.85,58.55,28.36,77.46,88.93,98.23,54.54,15.71,107.13,91.27,88.91,37.65,27.88,10.03,7.04,41.83,71.57,32.58,44.14,33.44,16.4,19.09,41.95,42.5,3.58,57.17,33.76,27.38,21.7,33.54,31.91,43.8,39.43,49.8,27.21,75.11,18.18,22.81,55.25
38.58,24.79,84.94,7.89,56.52,69.15,10.25,26.31,50.53,29.7,94.19,16.1,20.02,41.33,52.22,17.47,0.0,45.4,25.27,56.52,122.2,29.91,43.46,59.85,91.68,109.6,39.77,39.06,54.97,30.14,92.52,27.47,103.55,42.95,2.96,83.72,43.16,85.27,70.63,38.23,46.17,2.15,58.52,84.82,36.3,111.14,61.0,54.45,46.88,57.35,67.3,25.56,30.17,34.23,47.59,40.26,50.5,46.92,72.34,21.59,13.37,22.39,47.93,71.97,31.61,114.64,68.24,98.48,70.22,24.91,72.71,114.86,100.23,47.9,38.68,13.66,11.38,21.96,75.71,31.25,29.03,47.51,2.77,2.06,44.19,42.63,14.1,50.31,46.99,27.89,29.47,30.01,47.73,31.96,30.87,57.94,7.09,52.01,21.07,28.54,66.85
17.53,51.44,43.69,43.08,35.6,57.96,51.98,31.7,4.78,89.7,38.26,50.76,64.33,16.82,41.24,60.21,45.4,0.0,22.1,18.8,67.83,26.92,36.1,11.71,28.76,58.19,38.12,12.78,50.32,51.87,32.26,38.05,31.33,11.75,56.27,38.32,8.72,31.29,28.42,32.1,55.15,55.02,82.95,35.9,81.53,75.54,17.04,48.67,27.42,91.42,18.14,77.54,23.56,18.97,31.03,47.98,33.14,66.42,30.66,57.57,27.55,23.14,60.84,23.79,73.66,50.18,65.11,56.33,33.89,72.48,143.13,76.82,37.89,96.9,40.95,72.38,46.33,64.97,19.24,9.18,61.85,21.78,46.78,57.69,10.25,12.4,52.21,65.95,21.9,20.7,92.74,27.5,42.27,102.41,24.03,29.38,50.31,16.84,28.7,35.18,81.44
8.06,33.9,40.93,29.64,37.3,40.5,37.72,16.98,23.35,54.5,52.11,24.83,31.58,10.1,52.32,23.23,23.33,18.42,0.0,36.53,100.4,0.72,27.73,40.58,42.01,89.79,25.93,26.91,48.52,36.27,68.18,17.35,64.62,28.47,22.93,50.34,31.03,50.92,51.4,29.02,47.32,21.92,68.72,48.29,74.29,77.47,40.99,43.1,17.95,64.13,48.5,42.63,6.05,5.46,25.85,40.84,32.74,61.25,37.54,27.6,13.73,5.8,60.37,39.25,54.04,85.49,83.89,70.38,61.58,50.56,119.3,83.18,50.95,56.13,21.57,45.39,21.24,41.37,48.14,15.55,43.56,20.05,22.88,30.19,24.38,23.5,22.66,69.24,15.71,5.03,44.71,20.96,29.89,75.24,15.27,44.65,24.87,32.33,21.11,17.24,75.86
27.93,61.99,46.81,52.31,54.28,48.86,66.47,36.83,14.6,86.56,24.73,49.02,89.49,25.8,45.99,60.23,56.52,18.8,33.72,0.0,72.67,41.3,27.87,1.06,33.05,55.1,47.02,11.27,29.2,63.5,48.84,47.55,34.19,4.78,69.42,30.41,15.91,20.58,18.57,38.12,47.02,59.53,88.12,18.52,76.34,46.37,6.57,56.26,26.1,113.04,10.22,63.09,23.89,40.64,29.49,90.68,48.45,63.61,13.32,59.99,48.08,32.21,76.24,11.41,79.22,40.9,39.83,58.79,15.91,79.51,141.17,56.21,55.62,124.3,29.77,55.55,43.33,61.63,31.36,19.43,85.53,19.22,58.91,47.95,30.69,6.11,70.53,55.99,18.55,34.14,101.09,28.14,43.43,113.15,46.94,27.94,73.21,34.82,44.48,25.15,115.36
76.29,152.72,115.8,160.29,140.75,111.9,156.41,132.24,85.1,152.75,66.1,112.57,172.32,89.24,125.13,97.86,122.2,81.4,83.67,55.9,0.0,99.69,106.2,85.35,72.09,36.26,95.88,75.63,101.44,179.09,74.72,87.64,57.44,72.72,150.93,57.37,64.9,45.02,70.07,70.9,85.73,100.45,155.24,55.95,168.05,57.78,64.42,89.76,107.6,122.65,84.04,154.65,118.59,99.59,96.51,113.72,133.18,118.22,69.34,100.53,119.79,87.36,139.39,64.63,135.95,52.15,49.58,91.04,43.48,165.36,168.09,74.47,92.14,176.16,79.3,107.82,116.15,141.03,86.0,71.98,188.4,84.69,100.15,102.85,89.0,60.6,99.32,100.8,106.04,109.65,116.24,90.93,90.05,189.76,119.39,68.71,156.2,91.76,103.6,90.1,139.54
8.97,44.82,40.8,37.8,28.93,48.16,33.19,25.47,18.94,50.73,55.77,20.15,48.21,12.36,45.63,35.17,19.94,17.95,0.78,41.3,99.69,0.0,25.02,34.43,49.92,102.72,29.51,30.16,31.88,47.93,67.93,22.53,64.03,30.13,19.57,64.82,28.13,57.86,50.7,28.6,35.93,22.5,53.07,59.48,64.98,76.72,30.99,53.34,20.94,69.8,47.77,46.96,6.69,7.17,25.31,41.29,27.42,41.36,55.42,33.37,9.66,7.83,69.77,35.51,45.24,67.81,66.46,58.41,52.59,46.96,92.2,82.7,76.2,67.91,26.52,39.8,21.64,42.09,47.66,17.12,44.08,16.16,23.54,20.65,22.21,22.94,27.53,54.99,19.7,6.8,67.46,26.76,38.39,50.54,13.17,50.68,31.93,34.84,21.06,25.22,63.62
14.35,49.95,63.78,56.75,72.3,31.32,50.95,21.03,32.96,46.78,39.08,35.67,70.12,15.52,64.86,40.65,50.15,28.88,31.99,34.84,106.2,27.1,0.0,22.44,53.59,50.94,11.97,15.49,11.12,66.15,67.56,16.95,59.44,33.06,31.64,58.12,34.8,39.92,45.58,12.6,22.67,41.6,61.3,31.51,87.86,40.66,33.94,21.61,3.55,53.49,49.02,53.79,21.88,30.06,7.83,74.55,59.18,74.44,39.86,29.76,33.7,22.03,40.53,28.98,57.23,70.57,35.33,99.9,41.55,59.99,97.71,70.06,61.91,84.15,11.07,44.52,35.13,80.28,47.68,23.59,66.85,9.15,48.13,45.09,46.35,27.51,43.1,32.38,11.25,38.28,60.02,6.83,14.51,72.53,44.2,17.86,48.07,60.27,16.19,5.88,68.94
20.43,91.43,53.91,51.25,53.41,52.31,65.11,53.75,10.6,85.24,17.48,39.82,87.91,22.56,54.49,54.38,46.04,15.23,27.05,1.06,85.35,26.48,29.17,0.0,22.59,55.91,39.59,9.22,28.71,62.49,45.18,35.59,35.24,5.06,45.23,26.24,14.19,18.73,13.38,28.71,40.26,44.74,87.0,18.92,75.3,50.91,8.8,36.95,20.87,96.72,12.8,93.11,29.69,39.14,22.9,77.58,36.66,62.74,14.25,73.49,46.71,31.16,81.47,7.71,65.07,38.89,40.07,45.61,24.88,60.18,174.93,47.67,42.92,106.37,37.5,81.77,63.42,60.63,31.32,18.19,84.26,23.79,53.11,60.96,29.67,4.82,45.99,55.45,22.87,27.45,79.69,40.95,49.12,74.41,45.7,21.32,62.09,26.37,39.84,36.37,105.26
49.97,95.19,28.56,79.56,52.02,81.56,100.69,66.55,24.22,125.6,16.85,75.14,86.14,37.57,53.83,96.15,91.68,31.16,42.01,33.05,72.09,62.41,58.06,29.36,0.0,57.37,67.41,29.19,76.83,71.6,24.64,72.02,8.91,27.2,61.06,17.5,23.69,38.68,17.79,66.67,53.23,72.08,139.32,47.59,137.05,69.46,22.39,89.3,51.09,94.22,15.6,108.01,47.61,57.52,54.17,77.91,41.92,78.89,35.03,68.21,61.18,70.24,100.81,43.16,85.19,22.92,69.52,35.67,31.4,119.51,133.75,40.97,31.63,117.56,60.0,108.21,71.42,90.63,12.22,47.29,101.61,51.66,77.06,73.91,37.27,35.27,76.94,68.64,46.47,39.75,128.66,49.19,82.9,119.77,66.08,55.73,91.99,29.61,78.76,68.46,105.23
61.02,131.02,93.87,88.77,105.2,57.76,126.9,88.57,66.14,95.21,51.99,89.59,97.65,76.67,137.68,115.73,101.17,58.19,89.79,68.87,45.33,68.48,76.41,60.57,68.84,0.0,59.01,74.35,44.15,105.1,101.1,67.47,64.19,75.59,123.86,49.57,86.8,48.3,65.02,57.68,41.31,82.88,113.01,43.46,108.26,10.76,69.86,64.36,69.02,127.29,51.53,156.08,96.06,91.42,53.59,159.15,108.1,141.05,41.89,118.34,75.99,92.97,122.28,40.19,88.94,64.5,31.21,118.21,39.01,87.06,187.31,85.03,81.67,136.82,59.09,104.52,77.94,155.06,76.65,59.2,106.39,63.69,82.89,128.3,86.28,49.93,94.99,49.83,69.86,85.71,120.42,66.0,77.18,135.17,80.02,54.09,105.14,93.73,100.67,72.54,151.32
15.95,55.77,57.49,30.32,48.58,27.38,25.6,13.85,33.59,48.9,47.61,19.25,47.38,20.35,65.67,23.72,31.81,29.32,19.95,37.62,79.9,23.61,13.81,36.55,62.22,76.71,0.0,27.54,23.69,64.05,91.82,11.08,68.96,38.09,31.73,85.03,52.3,46.56,43.54,11.72,19.66,37.69,50.65,49.92,49.68,63.02,54.46,16.51,14.41,66.66,52.09,57.15,22.19,37.43,20.24,59.9,56.15,87.81,53.56,20.63,25.36,27.83,32.26,28.3,41.99,81.58,54.41,72.64,44.28,40.04,88.51,78.03,80.23,83.62,2.77,36.75,25.2,57.39,58.96,33.16,56.86,18.31,25.47,33.42,34.52,42.77,30.23,39.61,13.14,24.89,55.48,5.38,13.89,55.96,32.25,27.9,39.79,56.94,13.64,9.36,71.7
16.01,81.68,50.86,53.05,47.5,52.3,63.98,28.16,9.98,57.94,32.7,41.99,67.49,14.98,53.57,45.21,39.06,12.78,31.05,10.4,94.53,20.11,23.24,11.52,37.95,74.35,29.84,0.0,28.22,56.83,54.21,36.28,34.51,7.86,57.12,50.77,14.23,22.25,27.37,22.68,34.39,49.03,77.84,30.98,101.86,53.24,13.44,46.72,16.15,86.74,25.87,67.42,16.04,31.35,16.39,73.9,53.62,88.4,20.21,41.32,34.99,36.55,66.25,11.55,68.89,52.1,59.61,51.25,30.76,78.75,109.03,82.62,56.66,111.6,21.27,46.97,45.34,71.51,29.81,9.65,63.14,12.89,55.98,39.99,24.75,8.52,46.11,49.18,9.95,22.11,88.09,30.04,39.52,86.85,39.66,24.37,53.47,35.69,33.22,21.73,96.15
38.18,76.31,93.82,59.93,88.83,11.53,61.6,29.98,30.96,51.1,64.42,31.83,71.85,35.94,84.5,43.29,54.97,43.61,48.52,37.95,81.15,47.83,13.34,34.45,51.22,44.15,15.8,28.22,0.0,84.3,78.26,31.52,65.52,35.56,52.27,63.31,49.06,40.64,51.09,6.14,5.31,53.16,62.17,33.16,76.96,40.12,34.05,12.98,19.05,66.04,47.25,75.95,27.94,47.02,9.87,95.13,56.38,94.69,42.37,41.73,54.08,42.37,39.83,34.37,54.86,86.81,31.33,96.55,32.79,51.78,130.98,111.99,70.72,69.87,19.9,64.68,45.72,95.01,62.84,28.63,81.54,25.25,61.78,56.7,49.34,28.7,35.51,21.06,27.3,54.94,48.94,16.15,9.71,89.91,67.58,10.95,69.43,50.21,24.76,18.28,94.35
53.06,10.66,77.8,21.27,43.32,83.12,37.05,48.72,64.8,36.96,92.61,50.83,13.79,55.5,59.54,43.04,27.82,67.43,43.52,95.24,119.39,44.24,55.12,81.24,93.08,105.1,59.12,85.24,77.81,0.0,84.81,62.06,120.53,76.45,38.37,106.74,55.83,113.05,110.53,91.3,103.25,36.66,80.72,91.73,32.34,114.37,66.05,65.02,68.12,61.43,65.11,2.69,49.46,54.61,91.29,31.7,59.89,24.22,73.6,49.28,43.88,33.59,84.05,66.4,57.65,115.31,135.62,119.82,92.75,50.4,92.32,126.51,69.26,44.73,62.74,31.06,30.77,1.9,77.4,71.24,29.36,62.48,35.86,26.17,47.18,58.8,39.73,110.21,77.04,35.05,65.92,68.15,77.63,51.24,36.43,83.5,24.34,74.59,60.26,50.27,62.09
45.53,69.77,5.39,86.21,44.08,114.8,103.93,80.42,34.41,86.21,44.85,92.9,83.23,59.24,36.08,82.36,61.68,48.4,54.54,56.36,89.66,67.93,73.19,56.47,20.53,77.77,61.21,41.7,78.26,65.24,0.0,80.68,34.94,42.93,81.17,46.1,35.73,63.14,45.0,96.27,68.04,61.01,147.42,82.48,90.86,73.25,40.84,87.2,64.02,98.64,42.16,79.66,68.08,40.3,71.96,47.07,30.38,81.84,68.42,87.63,68.69,49.98,91.56,58.7,90.45,45.3,99.64,21.98,65.62,109.45,199.85,35.01,6.78,126.45,59.12,97.01,93.92,76.2,16.92,46.93,99.24,75.62,77.97,80.21,40.61,47.7,67.83,107.46,49.1,53.75,116.77,89.56,87.7,112.36,41.47,88.44,90.47,27.87,70.56,55.58,137.75
20.54,41.43,86.73,32.79,68.15,33.58,22.28,0.93,37.43,36.4,68.98,9.17,46.58,26.75,67.17,13.3,18.32,38.05,20.82,54.86,131.46,25.99,22.03,53.38,55.4,101.2,11.08,27.91,29.1,49.65,62.06,0.0,92.83,43.74,20.92,80.07,48.76,43.02,63.64,24.18,28.02,20.38,37.48,41.17,54.14,74.06,53.64,23.66,19.23,46.76,44.14,59.39,25.05,22.81,30.51,65.19,57.85,62.46,55.31,20.18,19.39,14.08,29.51,34.89,44.71,67.93,60.41,89.46,57.6,36.91,97.79,123.46,67.65,71.8,12.7,20.18,13.15,52.03,56.78,28.87,38.93,26.64,17.47,29.52,45.49,33.0,11.8,32.61,18.14,22.27,36.99,14.96,22.08,58.98,36.3,41.04,22.65,52.59,4.95,16.35,68.37
67.97,81.68,44.18,111.39,63.52,65.92,111.95,93.03,40.23,118.28,12.38,97.45,96.12,57.45,50.02,106.57,69.03,46.99,59.64,26.3,62.23,73.88,74.3,40.66,8.91,53.49,74.7,34.51,65.52,104.46,32.25,74.26,0.0,36.8,89.46,5.24,33.64,36.05,23.12,66.34,67.24,101.88,148.84,55.52,148.83,51.15,31.88,82.12,71.9,121.02,17.78,121.05,46.89,55.72,54.72,103.09,56.92,74.63,41.52,112.53,88.2,65.35,89.72,41.19,109.99,13.16,68.65,25.32,31.21,86.41,183.85,30.85,35.3,137.58,66.92,95.41,86.99,94.16,21.13,46.3,111.4,45.26,87.34,90.46,43.37,43.54,85.55,85.87,57.74,71.79,92.59,70.73,89.27,149.33,78.99,67.71,69.52,31.68,71.01,66.6,135.29
